Name;Type;Size
loop;T;1868
showFight();T;1458
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*);T;1274
alphaKeyboard(char*, unsigned char);T;880
numKeyboard(int, unsigned char);T;876
Display::drawBitmap(signed char, signed char, unsigned char const*);T;806
Gamebuino::menu(char const* const*, unsigned char);T;708
font5x7;T;642
showAdventureSheet();T;600
showDice(unsigned char);T;572
dummy;t;550
_displayBuffer;B;512
Sound::updateNote(unsigned char);T;446
realloc;T;436
Display::drawChar(signed char, signed char, unsigned char, unsigned char);T;432
Display::begin(signed char, signed char, signed char, signed char, signed char);T;394
font3x5;T;386
font3x3;T;386
Gamebuino::displayBattery();T;372
Gamebuino::update();T;370
Display::drawCircleHelper(signed char, signed char, signed char, unsigned char);T;350
seekBook(int);T;336
free;T;304
Gamebuino::readSettings();T;304
showAbout();T;272
malloc;T;270
eqp;B;255
txt;B;253
DF_logo;t;242
Display::fillCircleHelper(signed char, signed char, signed char, unsigned char, signed char);T;236
Display::drawPixel(signed char, signed char);W;234
Sound::updatePattern(unsigned char);T;230
Sound::command(unsigned char, unsigned char, signed char, unsigned char);T;224
Gamebuino::updatePopup();T;208
Backlight::update();T;208
Gamebuino::begin();T;206
printBook();T;206
Print::printNumber(unsigned long, unsigned char);T;200
__mulsf3x;T;194
analogWrite;T;192
__addsf3x;T;192
Display::drawRoundRect(signed char, signed char, signed char, signed char, signed char);T;188
do_random;t;160
Gamebuino::pickRandomSeed();T;150
map(long, long, long, long, long);T;146
__vector_16;T;144
int2char(int, char*);T;142
Gamebuino::changeGame();T;138
gb;B;135
Display::update();T;134
initGame();T;130
Battery::update();T;128
Print::print(long, int);T;128
pinMode;T;126
__floatunsisf;T;122
Display::write(unsigned char);T;122
init;T;118
Display::fillRoundRect(signed char, signed char, signed char, signed char, signed char);T;118
Sound::begin();T;116
gamebuinoLogo;t;112
gamebuinoLogo;t;112
Display::fillRect(signed char, signed char, signed char, signed char);T;106
Sound::generateOutput();T;106
digitalWrite;T;102
char2int(char*);T;100
String::String(int, unsigned char);T;98
digitalRead;T;96
Sound::updateTrack(unsigned char);T;94
turnOffPWM;t;90
String::getBytes(unsigned char*, unsigned int, unsigned int) const;T;90
